School No,School Name,Status,Products 2025,Products 2026,Dropped Products
2456473,N.E.T. Public School - ICSE,Dropped,ASSET,None,ASSET
2457713,Prudence International School,Dropped,CARES,None,CARES
2458794,"Cambridge International School, Kullu",Dropped,CARES,None,CARES
2459310,Sri Aham Aathma Vidyalaya,Dropped,Mindspark,None,Mindspark
2470230,The Samhita Academy,Dropped,Mindspark,None,Mindspark
2470596,R J Mantra English School,Dropped,"ASSET, CARES, Mindspark",None,"ASSET, CARES, Mindspark"
2470921,Zydus School for Excellence - Godhavi,Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
2472169,BVM Global Bollineni Hillside Senior Secondary School,Dropped,ASSET,None,ASSET
2472480,Apple Global School,Dropped,"ASSET, CARES, Mindspark",None,"ASSET, CARES, Mindspark"
2473015,Sunbeam Suncity (School & Hostel),Dropped,Mindspark,None,Mindspark
2473458,Mahatma Montessori School CBSE,Dropped,ASSET,None,ASSET
2475745,Candor International School,Dropped,Mindspark,None,Mindspark
2476940,BVM Global @ Perungudi,Dropped,ASSET,None,ASSET
249296,Kokilaben Dhirubhai Ambani Reliance Foundation School,Dropped,ASSET,None,ASSET
2496983,BVM Global @ Coimbatore,Dropped,ASSET,None,ASSET
2497679,Rabindra Vidya Niketan,Dropped,"ASSET, CARES, Mindspark",None,"ASSET, CARES, Mindspark"
2501573,Step By Step School,Dropped,ASSET,None,ASSET
2503335,Vidya Vanam Sr Sec School,Dropped,Mindspark,None,Mindspark
2503955,Parle Tilak Vidyalaya (ICSE),Dropped,ASSET,None,ASSET
2508568,"La Montessori School, Kelheli",Dropped,CARES,None,CARES
2509576,Kaushalya World School,Dropped,CARES,None,CARES
2509774,"KLE English Medium CBSE School, Nipani",Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
2509933,Global Indian International School,Dropped,ASSET,None,ASSET
251230,"Apeejay School, Salt Lake Branch",Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
2516584,Global Edge School,Dropped,ASSET,None,ASSET
252071,"Cambridge School, K R Puram",Dropped,CARES,None,CARES
2528645,St Kabir Indian International School,Dropped,"ASSET, CARES, Mindspark",None,"ASSET, CARES, Mindspark"
2530317,Green Valley English School,Dropped,CARES,None,CARES
253271,Mount St. Mary'S School,Dropped,"ASSET, CARES",None,"ASSET, CARES"
2546862,Pearson School Kompally,Dropped,ASSET,None,ASSET
2548143,"Padma Seshadri Bala Bhavan Senior Secondary School, Siruseri",Dropped,ASSET,None,ASSET
2551930,Sage School,Dropped,CARES,None,CARES
255648,Apeejay School- Parkstreet,Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
2557342,Banyan Tree School,Dropped,CARES,None,CARES
2559923,Ramco Vidya Mandir School,Dropped,Mindspark,None,Mindspark
2560999,"Shiv Nadar School, Noida (CBSE)",Dropped,ASSET,None,ASSET
2561674,PVPST Gujarati Medium School,Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
2562124,Gopal^s Garden High School,Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
2562273,Vidyagyan School,Dropped,ASSET,None,ASSET
2565214,Shiv Nadar School (CBSE),Dropped,ASSET,None,ASSET
2565760,Suchitra Academy,Dropped,ASSET,None,ASSET
258293,Sri Sankara Senior Secondary School,Dropped,"ASSET, CARES",None,"ASSET, CARES"
2614572,The Ivy Global School,Dropped,CARES,None,CARES
2618631,BVM Global @ Trichy,Dropped,ASSET,None,ASSET
265162,"Delhi Public School, Greater Noida",Dropped,ASSET,None,ASSET
2672,Delhi Public School,Dropped,ASSET,None,ASSET
27245,Jasudben School,Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
2755127,The Green Acres Academy-Chembur,Dropped,ASSET,None,ASSET
2758617,Pratibha International School,Dropped,CARES,None,CARES
2821214,Ramco Vidyalaya,Dropped,Mindspark,None,Mindspark
282495,Genius English Medium School,Dropped,Mindspark,None,Mindspark
28275,The Doon School,Dropped,ASSET,None,ASSET
2827739,Vriksha Global School,Dropped,CARES,None,CARES
2844474,BVM Global @ Bengaluru,Dropped,ASSET,None,ASSET
28486,Anand Vidya Vihar,Dropped,CARES,None,CARES
28968,Uttam School For Girls,Dropped,CARES,None,CARES
2952557,Jamnabai Narsee International School,Dropped,ASSET,None,ASSET
2984015,Anand Niketan School Bhadaj Campus,Dropped,Mindspark,None,Mindspark
3031830,Global Indian International School,Dropped,ASSET,None,ASSET
3033,Bluebells School International,Dropped,ASSET,None,ASSET
3072629,Birla Vidya Niketan,Dropped,Mindspark,None,Mindspark
3078372,Blossom public school,Dropped,CARES,None,CARES
308823,Doon Public School,Dropped,"ASSET, CARES",None,"ASSET, CARES"
3106413,Gems Genesis International School,Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
3139,Vasant Valley School,Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
3144641,Smart Modern School,Dropped,ASSET,None,ASSET
3147476,Sri Kumaran Children's Academy,Dropped,"ASSET, CARES, Mindspark",None,"ASSET, CARES, Mindspark"
3149549,Global Indian International School,Dropped,ASSET,None,ASSET
3150210,Army Public School,Dropped,CARES,None,CARES
3152932,Aster Public School,Dropped,Mindspark,None,Mindspark
3153272,"Presidency School, Bangalore North",Dropped,ASSET,None,ASSET
3155272,IIRA International School,Dropped,"CARES, Mindspark",None,"CARES, Mindspark"
3155338,"Broadway Public School, Barnala",Dropped,Mindspark,None,Mindspark
3167641,"Mount Litera Zee School, Surat",Dropped,Mindspark,None,Mindspark
3168781,Global City International School,Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
3182761,"Mount Index International School, Indore",Dropped,CARES,None,CARES
3187344,Yagappa International Residential School,Dropped,Mindspark,None,Mindspark
3187497,Sir Mutha School,Dropped,ASSET,None,ASSET
3188843,Redbricks School,Dropped,ASSET,None,ASSET
3216662,St. Xavier'S School,Dropped,CARES,None,CARES
3218539,St. Xavier’s High School- Keonjhar,Dropped,CARES,None,CARES
3242514,Erudite Academy,Dropped,CARES,None,CARES
