School No,School Name,City,Category,Offering
343881,"Bhavan Vidyalaya, Panchkula",Panchkula,All Products,"Ei ASSET, Ei CARES, Ei Mindspark"
384445,Campion School,Mumbai,All Products,"Ei ASSET, Ei CARES, Ei Mindspark"
4156856,D L F Public School-IGCSE,Ghaziabad,All Products,"Ei ASSET, Ei CARES, Ei Mindspark"
395483,DLF Public School,Ghaziabad,All Products,"Ei ASSET, Ei CARES, Ei Mindspark"
3362563,Darbari Lal Foundation World School,Greater Noida,All Products,"Ei ASSET, Ei CARES, Ei Mindspark"
5018044,Edu Girls,Bethesda,All Products,"Ei ASSET,Ei CARES,Ei Mindspark"
5077577,Edu Girls KREIS,Bethesda,All Products,"Ei ASSET,Ei CARES,Ei Mindspark"
598546,Fernwood School,Kohima,All Products,"Ei ASSET, Ei CARES, Ei Mindspark"
5063250,Fun Learn Day Boarding School,Kolkata,All Products,"Ei ASSET, Ei ASSET,Ei CARES,Ei Mindspark"
5064415,Fun Learn Day Boarding School ( Edu Girls),Kolkata,All Products,"Ei ASSET,Ei CARES,Ei Mindspark, Ei CARES"
4930,GEAR Innovative International School,Bengaluru,All Products,"Ei ASSET,Ei CARES,Ei Mindspark, Ei CARES, Ei Mindspark"
5018143,Girls Primary School MJM,Hyderabad,All Products,"Ei ASSET,Ei CARES,Ei Mindspark"
3992941,Holy Writ High School & Junior College,Mumbai,All Products,"Ei ASSET, Ei CARES, Ei Mindspark"
3591328,IEM Public School,Kolkata,All Products,"Ei ASSET, Ei CARES, Ei Mindspark"
5018144,IEM Public School Ashram Building,Kolkata,All Products,"Ei ASSET, Ei CARES, Ei Mindspark"
5017812,"IEM Public School, Newtown Kolkata",Kolkata,All Products,"Ei ASSET, Ei CARES, Ei Mindspark"
5070312,"Kittu Rani Chennamma Residential School(Sc),Channaraypatna",Bangalore,All Products,"Ei ASSET,Ei CARES,Ei Mindspark"
5070482,"Kittu Rani Chennamma Residential School(Sc),Thyamagundalu",Bangalore,All Products,"Ei ASSET,Ei CARES,Ei Mindspark"
3594140,Meru International School,Hyderabad,All Products,"Ei ASSET, Ei CARES, Ei Mindspark"
3769775,Pakshalika High,Sibsagar,All Products,"Ei ASSET,Ei CARES,Ei Mindspark, Ei Mindspark"
3886389,Prakriti School - Sec-128,Noida,All Products,"Ei ASSET, Ei CARES, Ei Mindspark"
2470596,R J Mantra English School,Virudhunagar,All Products,"Ei ASSET,Ei CARES,Ei Mindspark, Ei Mindspark"
2497679,Rabindra Vidya Niketan,Keonjhar,All Products,"Ei ASSET,Ei CARES,Ei Mindspark"
1271232,Rishikul Vidyapeeth School,Sonepat,All Products,"Ei ASSET,Ei CARES,Ei Mindspark"
5058694,S N Kansagra School - Full Day,Rajkot,All Products,"Ei ASSET, Ei CARES, Ei Mindspark"
5004172,SRGVVK Trust School,Bangalore,All Products,"Ei ASSET, Ei CARES, Ei Mindspark"
3294066,Saandeepani Academy For Excellence,Bengaluru,All Products,"Ei ASSET,Ei CARES,Ei Mindspark"
153271,Seth M. R. Jaipuria School,Lucknow,All Products,"Ei ASSET,Ei CARES,Ei Mindspark, Ei Mindspark"
5184,Sishu Griha Montessori And High School,Bengaluru,All Products,"Ei ASSET,Ei CARES,Ei Mindspark, Ei ASSET,Ei Mindspark"
20191,Sishya School,Hosur,All Products,"Ei ASSET,Ei CARES,Ei Mindspark"
5029152,Sishya School Hosur,Hosur,All Products,"Ei ASSET,Ei CARES,Ei Mindspark"
3147476,Sri Kumaran Children's Academy,Bengaluru,All Products,"Ei ASSET, Ei CARES, Ei Mindspark"
18922,Sri Kumaran Children's Home - CBSE,Bengaluru,All Products,"Ei ASSET,Ei CARES,Ei Mindspark"
370457,Sri Kumaran Public School -ICSE,Bengaluru,All Products,"Ei ASSET, Ei CARES, Ei Mindspark"
2528645,St Kabir Indian International School,Vadodara,All Products,"Ei ASSET,Ei CARES,Ei Mindspark"
3425691,St. Kabir School,Vadodara,All Products,"Ei ASSET,Ei CARES,Ei Mindspark"
1021816,The Doon Girls^ School,Dehradun,All Products,"Ei ASSET, Ei ASSET,Ei CARES, Ei CARES, Ei Mindspark"
3284326,The Kirk View School,Gaya,All Products,"Ei ASSET, Ei CARES, Ei Mindspark"
3328193,The Ramakrishna Vivekananad Vidya Mandir,Deoghar,All Products,"Ei CARES,Ei Mindspark"
175250,The TVS School,Madurai,All Products,"Ei ASSET,Ei CARES,Ei Mindspark"
5002504,"Vimukti Girls School, Jaipur",Jaipur,All Products,"Ei ASSET,Ei CARES,Ei Mindspark"
5014602,Vimukti Sanstha ,"Firozabad, Jaipur",All Products,"Ei ASSET,Ei CARES,Ei Mindspark, Ei CARES"
168210,Vivekananda Mission School,Kolkata,All Products,"Ei ASSET, Ei CARES, Ei Mindspark"
2133172,Adani Vidya Mandir,Ahmedabad,No specified products,Ei Teacher Training
5016141,A M Naik School,Mumbai,Only ASSET,Ei ASSET
623030,A. K. Ghosh Memorial School,Kolkata,Only ASSET,Ei ASSET
5018122,Aarth Universal School,Surat,Only ASSET,Ei ASSET
5004123,Adani International School,Ahmedabad,Only ASSET,Ei ASSET
2285293,Anand Niketan International,Ahmedabad,Only ASSET,Ei ASSET
365439,Anand Niketan Satellite,Ahmedabad,Only ASSET,Ei ASSET
370,Arya Vidya Mandir Bandra West,Mumbai,Only ASSET,Ei ASSET
207682,Asian Christian High School,Hosur,Only ASSET,Ei ASSET
2844474,BVM Global @ Bengaluru,Bengaluru,Only ASSET,Ei ASSET
2496983,BVM Global @ Coimbatore,Coimbatore,Only ASSET,Ei ASSET
2476940,BVM Global @ Perungudi,Chennai,Only ASSET,Ei ASSET
2618631,BVM Global @ Trichy,Tiruchirappalli,Only ASSET,Ei ASSET
2472169,BVM Global Bollineni Hillside Senior Secondary School,Chennai,Only ASSET,Ei ASSET
3472426,BVM International School,Chennai,Only ASSET,Ei ASSET
2408882,"Bal Bharti School, Bahadurgarh",Jhajjar,Only ASSET,Ei ASSET
3033,Bluebells School International,Delhi,Only ASSET,Ei ASSET
3712077,Bombay International School Association,Mumbai,Only ASSET,Ei ASSET
5052054,CNMS,Mumbai,Only ASSET,Ei ASSET
551567,"Cambridge School, Greater Noida",Noida,Only ASSET,Ei ASSET
395154,"Cambridge School, Indirapuram",Ghaziabad,Only ASSET,Ei ASSET
1002463,"Cambridge School, New Friends Colony",Delhi,Only ASSET,Ei ASSET
549920,Cambridge School_Noida,Noida,Only ASSET,Ei ASSET
82810,Cambridge School_Srinivaspuri,New Delhi,Only ASSET,Ei ASSET
